Week,Date Range,Post Theme,Content Focus,Presentation Tie-In,Key Message,Hashtags,Visual Type,CTA
1,Nov 6-12,Introduction,Personal introduction + Campaign launch,Dr. Jason Ahad (Nov 6) + Dr. Graham van Aggelen (Nov 12),Who I am and why this research matters,#OilSands #TailingsPonds #WetlandRemediation #AlbertaEnergy #EnvironmentalInnovation #NatureBasedSolutions #Biosensors #GROW,GROW seminar poster,What's your biggest question about tailings remediation?
2,Nov 13-19,The Tailings Challenge,Problem statement with scale statistics,Recent presentations,1.4 trillion litres / 300 km² / Never allowed to release,#OilSands #TailingsPonds #AlbertaEnergy #EnvironmentalRemediation #WaterTreatment #Sustainability,AI video - aerial tailings,How should we prioritize tailings remediation in Alberta?
3,Nov 20-26,Introducing GROW,GROW project overview and methodology,Dr. Lori Bradford (Dec 3),Genomics + environmental engineering approach,#GROW #Genomics #EnvironmentalEngineering #OilSands #Research #UniversityofCalgary,GROW logo + team photo,What excites you most about nature-based solutions?
4,Nov 27-Dec 3,First Presentations Recap,Multidisciplinary approach,Dr. Lisa Gieg + Dr. Doug Muench presentations,Chemistry + biology + social science integration,#Interdisciplinary #Research #OilSands #GROW #Innovation,Infographic - research pillars,Which research area is most critical?
5,Dec 4-10,How Constructed Wetlands Work,Wetland treatment fundamentals,Dr. Etienne Yergeau (Jan 21),Natural biodegradation processes,#ConstructedWetlands #NatureBasedSolutions #Bioremediation #WaterTreatment #OilSands,AI video - wetland ecosystem,Have you seen wetlands used for industrial water treatment?
6,Dec 11-17,Naphthenic Acids Explained,The toxicity culprit,Previous presentations mentioning NAs,What makes NAs toxic and why they prevent water release,#NaphthenicAcids #WaterQuality #Toxicology #OilSands #EnvironmentalScience,Infographic - NA molecular structure,What do you know about naphthenic acids?
7,Dec 18-24,Year-End Reflection,Progress review + looking ahead,Year-to-date presentations,7 presentations down - momentum building,#YearInReview #Progress #GROW #OilSands #Innovation #CleanTech,Collage of researcher presentations,What environmental breakthrough are you hoping for in 2026?
8,Dec 25-31,Holiday Break,Optional: New Year message,None,--,--,--,--
9,Jan 1-7,New Year Hope,Fresh start for tailings remediation,Upcoming February presentations,New year = renewed commitment to solutions,#NewYear #Sustainability #EnvironmentalGoals #OilSands #CleanTech,AI video - future vision (partial),What's your environmental resolution for 2026?
10,Jan 8-14,Genomics Revolution,Optimizing nature's cleanup crew,Dr. Frank Gobas (Feb 19) preview,How genomics identifies optimal treatment conditions,#Genomics #Biotechnology #EnvironmentalScience #GROW #Innovation,DNA/genomics visualization,How can genomics transform other environmental challenges?
